"MANUFACTURERID","MANUFACTURERNAME","CONTACTNAME","PHONE","ADDRESS","ZIPCODE","CITYID","BALANCEDUE"
47,"Cinelli","Arne Spoletti","(203) 999-3838","3837 Venice Blvd","06340",873,3570.69
48,"Ibis","David Franklin","(201) 444-8765","876 W. Lakeside Dr.","07094",3669,5634.86
49,"Litespeed","John Adams","(615) 333-6531","8763 Ocoee Blvd","37401",4969,21386.42
50,"Dean Manufacturing","James Dean","(415) 888-3333","876 Eden Way","94305",691,3356.48
51,"San Marco","Mary Malone","(508) 444-9282","873 East Lane","02360",2430,0
52,"Tioga","Fred Simian","(303) 888-7777","876 Mountain Blvd","81301",786,11846.95
53,"SRAM","Stan Day","(312) 664-8800","1333 N. Kingsbury, 4th floor","60622",5866,0
54,"Race Face","Joe","(604) 527-9996","100-100 Braid St.","V3L 3P4",0,0
55,"Easton Sports","Herb Tai","(818) 782-6445","7855 Haskell Avenue","91406",6540,0
56,"Deda Elementi","Gabriele Masini","","via Leonardo Da Vinci, 21/23","26013",6598,0
57,"Terry Precision Cycling","Georgena Terry","(800) 289-8379","1657 East Park Drive","14502",6599,0
58,"Fox Racing","Todd Hicks","(408) 776-8633","18400 Sutter Boulevard","95037",526,0
59,"Crank Brothers","Joe Crank","(949) 464-9916","21542 Ann's Lane","92651",455,0
60,"Rolf","Joe Rolf","","","",0,0
61,"Vittoria","","","","",0,0
